[2026-05-19T23:38:29.184Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.185Z DEBUG kvm_server] Sent relative mouse move to client: dx=5, dy=0
[2026-05-19T23:38:29.185Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.186Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.187Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.187Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.188Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.188Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.189Z DEBUG kvm_server] Sent relative mouse move to client: dx=6, dy=0
[2026-05-19T23:38:29.189Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.190Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.191Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.191Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.192Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.192Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.193Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.193Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.194Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.194Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.195Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.195Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.196Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.196Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.197Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.197Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.198Z DEBUG kvm_server] Sent relative mouse move to client: dx=5, dy=0
[2026-05-19T23:38:29.198Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.199Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.199Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.201Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.201Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.202Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.202Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.203Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.203Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.204Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.204Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.205Z DEBUG kvm_server] Sent relative mouse move to client: dx=5, dy=0
[2026-05-19T23:38:29.205Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.206Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.206Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.207Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.207Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.208Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.208Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.209Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.210Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.210Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.211Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.211Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.212Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.212Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.213Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.213Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.214Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.214Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.215Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.215Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.216Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.216Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.217Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.217Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.218Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.218Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.219Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.219Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.220Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.220Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.221Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.221Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.222Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.223Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.223Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.224Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.224Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.225Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.225Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.226Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.227Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.227Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.228Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.228Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.229Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.229Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.230Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.231Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.231Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.232Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.232Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.233Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.233Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.234Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.234Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.235Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.235Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.236Z DEBUG kvm_server] Sent relative mouse move to client: dx=3, dy=0
[2026-05-19T23:38:29.236Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.237Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.237Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.238Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.238Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.239Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.239Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.240Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.240Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.241Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.242Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.242Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
